record_type,team,source_player,target_player,connection_strength,avg_x_start,avg_y_start,avg_x_end,avg_y_end,avg_xthreat,progressive_passes,box_entries,pass_distance_avg,connection_id,total_actions,minutes_active,position_variance_x,position_variance_y,xthreat_total
connection,Inter Miami,Rodrigo De Paul,Lionel Messi,5,51.28,23.28,53.84,21.8,-0.0088,1,0,16.24,Inter Miami_Rodrigo De Paul_Lionel Messi,,,,,
connection,Inter Miami,Rodrigo De Paul,Mateo Silvetti,1,72.7,66.2,92.7,78.2,-0.0696,1,1,23.32,Inter Miami_Rodrigo De Paul_Mateo Silvetti,,,,,
connection,Inter Miami,Rodrigo De Paul,Maximiliano Falcón,3,35.7,10.97,26.73,27.13,0.0011,0,0,18.8,Inter Miami_Rodrigo De Paul_Maximiliano Falcón,,,,,
connection,Inter Miami,Rodrigo De Paul,Noah Allen,6,40.05,36.72,33.23,62.9,0.0721,0,0,29.45,Inter Miami_Rodrigo De Paul_Noah Allen,,,,,
connection,Inter Miami,Rodrigo De Paul,Rocco Ríos Novo,1,28.4,25.3,8.0,45.7,-0.0041,0,0,28.85,Inter Miami_Rodrigo De Paul_Rocco Ríos Novo,,,,,
connection,Inter Miami,Rodrigo De Paul,Sergio Busquets,4,35.45,32.48,34.25,50.25,0.0422,0,0,18.31,Inter Miami_Rodrigo De Paul_Sergio Busquets,,,,,
connection,Inter Miami,Rodrigo De Paul,Tadeo Allende,5,38.48,20.08,49.46,13.02,-0.0085,1,0,17.11,Inter Miami_Rodrigo De Paul_Tadeo Allende,,,,,
connection,Inter Miami,Rodrigo De Paul,Yannick Bright,1,56.1,69.2,54.7,79.7,0.0996,0,0,10.59,Inter Miami_Rodrigo De Paul_Yannick Bright,,,,,
connection,Inter Miami,Sergio Busquets,Baltasar Rodríguez,3,40.6,55.33,43.93,78.0,0.1505,0,0,22.96,Inter Miami_Sergio Busquets_Baltasar Rodríguez,,,,,
connection,Inter Miami,Sergio Busquets,Ian Fray,1,28.4,59.1,32.7,6.7,-0.0624,0,0,52.58,Inter Miami_Sergio Busquets_Ian Fray,,,,,
connection,Inter Miami,Sergio Busquets,Jordi Alba,4,38.53,50.95,45.55,80.23,0.1805,1,0,33.84,Inter Miami_Sergio Busquets_Jordi Alba,,,,,
connection,Inter Miami,Sergio Busquets,Lionel Messi,5,27.9,45.66,47.58,34.24,0.0041,2,0,25.51,Inter Miami_Sergio Busquets_Lionel Messi,,,,,
connection,Inter Miami,Sergio Busquets,Mateo Silvetti,1,22.8,77.5,32.5,92.1,0.1472,0,0,17.53,Inter Miami_Sergio Busquets_Mateo Silvetti,,,,,
connection,Inter Miami,Sergio Busquets,Maximiliano Falcón,2,25.65,60.05,24.05,29.4,-0.0505,0,0,30.8,Inter Miami_Sergio Busquets_Maximiliano Falcón,,,,,
connection,Inter Miami,Sergio Busquets,Rocco Ríos Novo,1,14.2,75.9,4.9,54.9,-0.0486,0,0,22.97,Inter Miami_Sergio Busquets_Rocco Ríos Novo,,,,,
connection,Inter Miami,Sergio Busquets,Rodrigo De Paul,5,39.5,60.9,40.62,44.46,-0.0493,0,0,17.01,Inter Miami_Sergio Busquets_Rodrigo De Paul,,,,,
connection,Inter Miami,Sergio Busquets,Telasco Segovia,1,36.4,51.6,44.7,54.8,0.0461,0,0,8.9,Inter Miami_Sergio Busquets_Telasco Segovia,,,,,
connection,Inter Miami,Sergio Busquets,Yannick Bright,1,51.5,24.0,55.1,46.7,0.0813,0,0,22.98,Inter Miami_Sergio Busquets_Yannick Bright,,,,,
connection,Inter Miami,Tadeo Allende,Ian Fray,2,63.85,8.45,59.8,11.9,0.0018,0,0,12.18,Inter Miami_Tadeo Allende_Ian Fray,,,,,
connection,Inter Miami,Tadeo Allende,Lionel Messi,1,71.2,12.1,72.4,20.3,0.0108,0,0,8.29,Inter Miami_Tadeo Allende_Lionel Messi,,,,,
connection,Inter Miami,Tadeo Allende,Mateo Silvetti,1,97.1,26.0,89.5,41.7,0.0314,0,0,17.44,Inter Miami_Tadeo Allende_Mateo Silvetti,,,,,
connection,Inter Miami,Telasco Segovia,Jordi Alba,6,43.45,78.82,41.43,86.2,0.0601,0,0,15.81,Inter Miami_Telasco Segovia_Jordi Alba,,,,,
connection,Inter Miami,Telasco Segovia,Maximiliano Falcón,1,58.4,89.4,52.3,63.8,-0.3248,0,0,26.32,Inter Miami_Telasco Segovia_Maximiliano Falcón,,,,,
connection,Inter Miami,Telasco Segovia,Sergio Busquets,2,24.6,78.75,25.3,67.6,-0.0389,0,0,11.18,Inter Miami_Telasco Segovia_Sergio Busquets,,,,,
