minute,second,player,team,x,y,end_x,end_y,pass_distance,is_progressive,is_successful,is_cross,is_through_ball,field_zone,pass_length
11,57.0,Ronald Araújo,Barcelona,53.8,45.7,65.6,52.5,13.6,True,True,False,False,Middle_Center,
11,58.0,Raphinha,Barcelona,65.6,52.5,70.6,46.9,7.5,False,False,False,False,Middle_Center,
12,1.0,Aitor Paredes,Athletic Club,32.5,55.8,39.8,68.9,15.0,False,True,False,False,Defensive_Center,
12,33.0,Yuri Berchiche,Athletic Club,37.8,100.0,26.1,94.8,12.8,False,True,False,False,Middle_Right,
12,35.0,Aitor Paredes,Athletic Club,27.1,97.7,35.2,100.0,8.4,False,False,False,False,Defensive_Right,
12,46.0,Eric García,Barcelona,55.3,0.0,44.6,35.8,37.4,False,True,False,False,Middle_Left,
12,51.0,Pau Cubarsí,Barcelona,45.3,56.3,45.5,37.3,19.0,False,True,False,False,Middle_Center,
12,55.0,Gavi,Barcelona,46.5,48.4,48.5,89.3,40.9,False,True,False,False,Middle_Center,
13,0.0,Maroan Sannadi,Athletic Club,53.7,16.6,45.3,22.9,10.5,False,True,False,False,Middle_Left,
13,1.0,Alex Berenguer,Athletic Club,47.7,25.4,40.5,10.7,16.4,False,True,False,False,Middle_Left,
13,3.0,Óscar De Marcos,Athletic Club,39.8,6.1,47.2,32.5,27.4,False,True,False,False,Middle_Left,
13,5.0,Mikel Jauregizar,Athletic Club,47.2,32.5,58.8,33.1,11.6,True,True,False,False,Middle_Left,
13,29.0,Pedri,Barcelona,30.5,61.2,53.6,52.8,24.6,True,True,False,False,Defensive_Center,
13,30.0,Fermín López,Barcelona,66.5,52.6,81.9,59.3,16.8,True,True,False,False,Middle_Center,
14,39.0,Unai Gómez,Athletic Club,50.1,50.0,27.8,42.7,23.5,False,True,False,False,Middle_Center,
14,43.0,Alejandro Balde,Barcelona,13.3,82.2,5.9,56.3,26.9,False,True,False,False,Defensive_Right,
14,46.0,Iñaki Peña,Barcelona,4.3,46.7,42.0,10.7,52.1,True,True,False,False,Defensive_Center,
14,51.0,Nico Williams,Athletic Club,70.9,76.4,85.5,74.9,14.7,True,True,False,False,Attacking_Right,
14,53.0,Alex Berenguer,Athletic Club,89.9,64.5,87.8,58.7,6.2,False,True,False,False,Attacking_Center,
15,14.0,Iñaki Peña,Barcelona,5.1,52.2,21.2,33.7,24.5,True,True,False,False,Defensive_Center,
15,15.0,Pau Cubarsí,Barcelona,28.6,63.8,25.5,42.5,21.5,False,True,False,False,Defensive_Center,
15,19.0,Gavi,Barcelona,32.0,44.6,32.3,30.8,13.8,False,True,False,False,Defensive_Center,
15,22.0,Ronald Araújo,Barcelona,32.4,29.6,40.2,15.7,15.9,False,True,False,False,Defensive_Left,
15,24.0,Eric García,Barcelona,40.9,15.8,35.7,28.9,14.1,False,True,False,False,Middle_Left,
15,32.0,Ronald Araújo,Barcelona,38.3,38.5,44.8,54.5,17.3,False,True,False,False,Middle_Center,
15,33.0,Pedri,Barcelona,44.8,54.5,43.9,11.6,42.9,False,True,False,False,Middle_Center,
15,36.0,Eric García,Barcelona,43.5,14.6,46.3,38.2,23.8,False,True,False,False,Middle_Left,
15,39.0,Pedri,Barcelona,46.1,49.3,54.8,91.4,43.0,False,True,False,False,Middle_Center,
15,45.0,Alejandro Balde,Barcelona,67.9,92.4,62.3,80.7,13.0,False,True,False,False,Attacking_Right,
15,46.0,Pedri,Barcelona,65.3,81.9,76.8,90.5,14.4,True,False,False,False,Middle_Right,
15,55.0,Pau Cubarsí,Barcelona,38.3,100.0,28.1,72.6,29.2,False,True,False,False,Middle_Right,
15,58.0,Iñaki Peña,Barcelona,27.5,72.9,32.8,48.2,25.3,False,True,False,False,Defensive_Right,
16,3.0,Ronald Araújo,Barcelona,34.9,41.6,40.1,22.1,20.2,False,True,False,False,Middle_Center,
16,6.0,Eric García,Barcelona,41.2,20.9,95.2,19.7,54.0,True,False,False,False,Middle_Left,
16,59.0,Raphinha,Barcelona,99.5,0.5,96.8,50.4,50.0,False,False,True,False,Attacking_Left,
17,57.0,Unai Gómez,Athletic Club,50.0,50.1,26.8,51.1,23.2,False,True,False,False,Middle_Center,
18,0.0,Unai Simón,Athletic Club,25.1,44.8,92.9,4.0,79.1,True,False,False,False,Defensive_Center,
18,7.0,Alejandro Balde,Barcelona,8.6,90.9,9.0,74.3,16.6,False,True,False,False,Defensive_Right,
