x,y,end_x,end_y,xthreat,action_type
31.4,26.7,73.1,31.3,0.03698067391,pass
59.4,36.2,68.3,61.1,0.11160592688,pass
73.8,51.3,84.9,51.2,0.0,pass
53.1,68.6,63.8,68.9,0.0541981301600001,pass
55.4,44.5,63.8,51.5,0.0537898226,pass
30.8,13.6,72.2,35.5,0.06198180294,pass
81.0,51.2,91.0,43.7,0.0,pass
64.9,66.0,86.8,49.7,0.0,pass
54.5,64.0,81.0,82.7,0.0048627121,pass
99.5,0.5,78.7,67.9,0.17559198599,pass
40.0,38.8,58.9,40.3,0.0530788966799999,pass
82.5,7.7,93.7,16.7,0.0,pass
72.2,59.4,92.9,77.1,0.0,pass
82.5,77.3,96.3,70.1,0.0,pass
74.4,14.1,87.0,16.2,0.0,pass
58.7,29.8,82.0,16.5,0.0,pass
39.0,41.0,74.3,66.0,0.1320227944000001,pass
76.5,61.1,91.4,57.0,0.0,pass
79.5,67.8,94.4,64.8,0.0,pass
61.0,30.1,83.8,10.3,0.0,pass
68.3,44.3,90.9,66.3,0.0,pass
75.6,44.2,91.8,68.8,0.0188015668,pass
59.0,20.1,65.2,30.6,0.02406223958,pass
62.3,33.1,75.5,72.6,0.13437710938,pass
56.6,41.1,65.7,50.9,0.0519092705299999,pass
67.4,55.4,81.8,29.1,0.0,pass
70.8,50.1,82.1,49.7,0.0,pass
73.1,12.3,77.8,33.0,0.0246217913999999,pass
74.9,35.7,86.9,66.1,0.0532300994199999,pass
62.3,38.3,88.9,82.6,0.07204503198,pass
62.5,15.9,67.4,38.9,0.0534296956899999,pass
71.5,29.2,77.4,55.1,0.06040210402,pass
42.2,23.9,70.0,48.1,0.08868420506,pass
80.2,31.9,97.2,33.1,0.0,pass
40.7,16.0,70.1,18.2,0.01512010244,pass
76.0,49.6,90.0,40.1,0.0,pass
54.4,24.3,87.9,17.6,0.0,pass
65.0,45.7,73.9,48.4,0.0,pass
58.3,53.0,85.0,45.4,0.0,pass
72.1,22.8,92.2,18.9,0.0,pass
79.1,33.4,99.1,27.4,0.0,pass
69.2,43.6,80.2,64.4,0.03630269776,pass
50.8,69.4,69.8,94.3,0.2878798699400001,pass
68.1,93.0,91.5,79.5,0.0,pass
69.0,86.2,77.1,77.8,0.0,pass
73.8,63.0,84.7,59.7,0.0,pass
64.6,28.9,77.0,45.1,0.0112470548399999,pass
64.6,57.9,92.4,76.5,0.0,pass
70.7,50.8,85.8,32.7,0.0,pass
65.1,4.7,96.6,4.1,0.0,pass
43.4,45.6,60.5,44.2,0.04403502958,pass
71.9,65.6,79.5,44.0,0.0,pass
61.1,72.4,90.9,79.3,0.0,pass
36.6,56.2,83.5,56.4,0.00147771244,pass
72.5,39.9,85.2,49.5,0.0,pass
64.5,50.1,76.5,69.5,0.03085327745,pass
57.6,32.1,88.8,27.6,0.0,pass
75.3,31.3,83.7,37.0,0.0,pass
57.1,19.5,66.8,26.5,0.01095971145,pass
43.2,18.2,60.9,8.6,0.00229554304,pass
75.6,68.0,96.4,68.3,0.0,pass
99.5,99.5,92.3,48.7,0.0,pass
99.7,0.9,97.4,57.5,0.0516879600299999,pass
75.7,57.2,94.7,67.7,0.0,pass
55.4,56.4,74.1,55.0,0.0,pass
66.3,7.3,69.6,29.3,0.03275375297,pass
33.8,40.9,88.1,27.1,0.0,pass
62.1,70.7,70.4,63.3,0.0,pass
75.6,58.5,91.5,69.1,0.0,pass
64.8,38.7,89.6,51.5,0.0,pass
40.1,36.4,57.2,74.2,0.28864002384,pass
58.1,30.7,67.0,35.6,0.01195407412,pass
64.5,54.8,80.3,77.3,0.02402820177,pass
40.2,32.1,52.5,41.4,0.0570266727999999,pass
72.9,51.4,89.0,70.3,0.0,pass
63.8,3.0,76.0,3.0,0.0,pass
70.4,24.0,88.4,23.4,0.0,pass
55.5,14.4,90.9,4.6,0.0,pass
70.3,23.1,89.1,20.5,0.0,pass
57.4,49.0,66.2,48.7,0.0,pass
56.9,15.0,74.2,4.9,0.0,pass
68.9,41.7,77.8,46.3,0.0,pass
40.0,27.6,91.4,21.6,0.0,pass
78.4,29.9,87.5,46.4,0.01356288544,pass
57.2,18.9,88.1,20.7,0.0,pass
99.5,0.5,98.1,40.9,0.0258364168,pass
62.3,49.3,83.9,34.0,0.0,pass
69.9,43.2,91.3,76.5,0.03352730383,pass
67.1,26.6,77.2,37.4,0.0010663655599999,pass
54.0,48.7,69.2,39.1,0.0,pass
46.1,40.7,74.7,39.2,0.0,pass
65.9,50.2,76.4,52.4,0.0,pass
63.2,45.0,73.4,59.9,0.02172524108,pass
51.7,24.4,62.4,33.0,0.0347618763199999,pass
75.2,44.6,85.5,52.1,0.0,pass
51.8,55.4,61.4,58.4,0.0530824838,pass
71.6,62.3,86.1,34.0,0.0,pass
36.7,20.7,54.5,9.2,0.0085519052299999,pass
43.3,48.1,64.2,67.2,0.20335680066,pass
68.0,48.8,81.5,68.8,0.016659586,pass
73.9,30.3,79.8,42.4,0.01156696585,pass
79.7,63.6,87.5,56.1,0.0,pass
37.7,5.6,68.8,1.9,0.00568021096,pass
46.3,44.4,89.2,80.8,0.07804543164,pass
40.0,27.2,76.5,29.7,0.00978086255,pass
74.3,39.2,86.0,43.3,0.0,pass
73.6,21.0,80.7,33.3,0.0057156144099999,pass
40.7,34.6,76.2,78.5,0.2108683259,pass
51.7,14.6,90.5,29.3,0.0,pass
72.5,6.1,76.2,37.3,0.0462104854099999,pass
66.5,22.6,73.7,35.0,0.0115224507,pass
61.0,38.0,97.4,26.4,0.0,pass
83.7,18.1,94.8,43.6,0.01397845668,pass
35.0,31.1,88.1,66.2,0.0800809169,pass
65.5,49.0,77.0,63.3,0.0053974502999999,pass
78.6,37.8,93.9,32.2,0.0,pass
38.8,33.1,62.5,21.2,0.0124306322,pass
51.7,31.9,88.9,9.2,0.0,pass
65.2,59.4,88.1,80.8,0.0,pass
61.6,51.9,85.6,61.0,0.0,pass
61.7,37.6,69.6,49.3,0.02760993624,pass
60.4,50.4,71.8,61.2,0.0160402041600001,pass
53.2,46.0,65.2,61.5,0.1137148648,pass
51.6,12.7,68.5,4.6,0.0,pass
56.8,5.5,62.8,26.1,0.0395011722799999,pass
70.2,72.4,97.3,72.0,0.0,pass
73.5,28.9,94.5,49.2,0.0,pass
73.0,21.7,79.4,33.1,0.0064458574399999,pass
75.2,51.6,86.7,64.6,0.0,pass
76.8,40.1,92.4,44.2,0.0,pass
75.4,49.8,91.4,66.4,0.0,pass
46.6,49.0,85.8,25.0,0.0,pass
44.3,6.0,58.3,13.2,0.02096141624,pass
77.3,23.4,86.3,36.6,0.00466523532,pass
56.0,34.0,85.9,57.9,0.00319314545,pass
65.2,32.3,96.6,19.0,0.0,pass
68.7,45.0,79.2,38.9,0.0,pass
68.3,44.2,82.8,69.4,0.03650018586,pass
54.5,80.7,72.3,92.2,0.0510178498800002,pass
63.1,15.1,70.5,36.4,0.0360670918899999,pass
34.7,27.9,53.8,27.7,0.03709736069,pass
65.0,21.3,89.7,21.5,0.0,pass
44.0,20.2,63.6,26.1,0.03288289316,pass
51.9,53.6,82.2,35.0,0.0,pass
52.4,41.5,80.1,74.2,0.0947855018600001,pass
56.5,39.0,68.0,48.0,0.031352582,pass
83.0,23.1,88.6,36.3,0.01037836038,pass
62.4,33.6,76.3,55.2,0.03135825872,pass
99.5,99.5,88.3,48.3,0.0,pass
77.6,1.6,90.5,37.3,0.02379035515,pass
73.9,48.1,92.5,33.1,0.0,pass
68.3,7.1,94.6,14.7,0.0,pass
76.1,74.5,91.6,72.6,0.0,pass
44.8,56.1,67.0,34.5,0.0,pass
43.0,26.7,70.3,21.6,0.00362777726,pass
54.0,6.7,62.7,20.6,0.02717261002,pass
74.9,34.5,90.4,39.0,0.0,pass
45.4,41.2,68.8,28.8,0.0,pass
62.6,38.3,92.3,70.9,0.0,pass
73.3,66.1,90.8,47.0,0.0,pass
75.4,35.0,84.2,49.1,0.00959210974,pass
60.4,29.1,72.8,32.5,0.0,pass
99.5,99.5,86.6,34.8,0.0,pass
54.5,6.9,57.9,30.7,0.0478851895699999,pass
44.1,58.8,62.2,56.1,0.06237727926,pass
99.6,0.7,86.0,68.7,0.13611971992,pass
43.6,10.2,58.6,16.8,0.02382181984,pass
73.6,18.3,97.0,26.0,0.0,pass
75.2,6.0,89.3,41.1,0.02509471193,pass
71.6,32.8,83.7,36.5,0.0,pass
65.2,46.8,75.8,47.2,0.0,pass
