player,team,field_x,field_y,minute,second,pass_distance
Gavi,Barcelona,30.030000000000005,31.959999999999997,21,1.0,13.804032780314596
Ronald Araújo,Barcelona,26.985,18.428,21,3.0,7.149221566016818
Fermín López,Barcelona,33.285000000000004,22.78,21,3.0,8.15753792513403
Gavi,Barcelona,31.5,34.68,21,6.0,26.6030148667402
Alejandro Balde,Barcelona,33.91499999999999,63.24,21,10.0,18.06833705685169
Pau Cubarsí,Barcelona,14.700000000000001,47.87200000000001,21,12.0,22.591489016884214
Pedri,Barcelona,34.230000000000004,30.056,21,18.0,24.88274872275971
Gavi,Barcelona,27.09,29.24,21,30.0,14.51290956355754
Pedri,Barcelona,34.964999999999996,8.092,21,35.0,2.459866663053103
Lamine Yamal,Barcelona,36.12,5.576,21,35.0,6.936000000000001
Gavi,Barcelona,36.224999999999994,13.735999999999999,21,38.0,13.943558548663253
Fermín López,Barcelona,36.54,28.288000000000004,21,38.0,8.689433583381605
Robert Lewandowski,Barcelona,44.1,24.003999999999998,21,39.0,10.628077201450886
Raphinha,Barcelona,41.580000000000005,62.967999999999996,21,47.0,17.443626027864735
Pau Cubarsí,Barcelona,28.769999999999996,47.668,21,50.0,12.791283321074557
Gavi,Barcelona,50.294999999999995,46.24,22,1.0,13.881931025617437
Alejandro Balde,Barcelona,58.06499999999999,50.524,22,5.0,16.041549831609153
Pedri,Barcelona,47.565,35.02,22,8.0,20.055213785946044
Eric García,Barcelona,53.865,15.979999999999999,22,11.0,7.929383897882602
Lamine Yamal,Barcelona,60.269999999999996,10.676,22,11.0,14.28137262310594
Eric García,Barcelona,43.68000000000001,10.676,22,14.0,17.721924302964396
Ronald Araújo,Barcelona,37.8,27.063999999999997,22,17.0,13.84756617604697
Óscar De Marcos,Athletic Club,26.67,9.248000000000001,22,22.0,10.689030311492242
Unai Núñez,Athletic Club,32.235,20.264,22,27.0,12.7122004782807
Mikel Jauregizar,Athletic Club,36.75,32.368,22,28.0,43.33415378197664
Mikel Jauregizar,Athletic Club,50.61000000000001,66.844,22,49.0,22.260415449851788
Yuri Berchiche,Athletic Club,28.980000000000004,63.24,22,54.0,13.9207771334793
Aitor Paredes,Athletic Club,25.2,48.75600000000001,22,56.0,18.302845789657965
Unai Núñez,Athletic Club,29.294999999999998,31.892,22,59.0,22.46902588008657
Óscar De Marcos,Athletic Club,28.665000000000003,12.716,23,4.0,14.276195606673367
Íñigo Ruíz de Galarreta,Athletic Club,58.48500000000001,5.848,23,11.0,30.10992940875153
Pau Cubarsí,Barcelona,22.575,47.327999999999996,23,19.0,7.831818179707698
Gavi,Barcelona,28.769999999999996,39.711999999999996,23,22.0,9.968230785851627
Alejandro Balde,Barcelona,55.230000000000004,51.0,23,44.0,10.362565753711777
Raphinha,Barcelona,49.245,60.996,23,48.0,15.885222094764686
Pau Cubarsí,Barcelona,37.48500000000001,49.504,23,50.0,12.638833015749515
Gavi,Barcelona,40.635,37.263999999999996,23,53.0,18.563999999999993
Ronald Araújo,Barcelona,39.375,19.040000000000003,23,56.0,25.678856068758197
Pedri,Barcelona,62.474999999999994,45.900000000000006,24,20.0,16.46262825310709
Alejandro Balde,Barcelona,60.37499999999999,62.016000000000005,24,21.0,8.063295604155906
Raphinha,Barcelona,69.825,63.988,24,25.0,14.644279292611158
Alejandro Balde,Barcelona,56.80500000000001,58.888,24,27.0,18.648927583107834
Pau Cubarsí,Barcelona,46.51499999999999,36.652,24,31.0,28.674242378831913
Eric García,Barcelona,50.294999999999995,8.296,24,33.0,14.531400792765982
Ronald Araújo,Barcelona,39.9,22.916,24,36.0,7.368446511986086
Gavi,Barcelona,41.685,28.016000000000002,24,37.0,22.60120282197388
Iñaki Peña,Barcelona,19.11,29.104,24,43.0,18.322480290615683
Ronald Araújo,Barcelona,34.544999999999995,17.408,24,48.0,9.775581824116657
Gavi,Barcelona,31.919999999999998,30.056,24,52.0,6.131160493740157
Pedri,Barcelona,37.695,44.676,24,55.0,17.49947499212476
Alejandro Balde,Barcelona,43.574999999999996,62.42399999999999,24,58.0,11.339476575221637
Raphinha,Barcelona,51.345,65.212,24,59.0,9.870936936279147
Pau Cubarsí,Barcelona,44.73,52.02,25,22.0,19.635465464307188
Gavi,Barcelona,52.71,34.272,25,24.0,17.19599374854504
Pau Cubarsí,Barcelona,43.995,49.096,25,26.0,14.814795847395272
Raphinha,Barcelona,47.985,62.763999999999996,25,29.0,14.5220093650982
Gavi,Barcelona,46.2,47.668,25,31.0,25.54923030151789
Fermín López,Barcelona,104.475,67.66,26,9.0,15.845789850935173
Lamine Yamal,Barcelona,89.77499999999999,61.74399999999999,26,11.0,14.601966477156417
Pedri,Barcelona,80.325,50.184,26,13.0,9.006042471585396
Raphinha,Barcelona,104.475,0.34,26,35.0,15.333832006383785
Pedri,Barcelona,91.14,8.704,26,37.0,15.528208653930434
Lamine Yamal,Barcelona,79.69500000000001,28.288000000000004,26,41.0,18.478485029893545
Alex Berenguer,Athletic Club,68.25,8.432,27,5.0,5.541479946729037
Íñigo Ruíz de Galarreta,Athletic Club,62.58,5.644,27,6.0,41.005209925081466
Yuri Berchiche,Athletic Club,63.525,47.327999999999996,27,12.0,25.289195499264107
Aitor Paredes,Athletic Club,34.964999999999996,43.248,27,15.0,18.088304757494548
Unai Núñez,Athletic Club,41.79,23.188000000000002,27,19.0,18.824644086940932
Óscar De Marcos,Athletic Club,49.56,8.432,27,21.0,18.831930756032424
Unai Núñez,Athletic Club,32.235,19.311999999999998,27,24.0,19.926944974079703
Aitor Paredes,Athletic Club,37.695,41.412,27,28.0,67.16138938407988
Yuri Berchiche,Athletic Club,87.885,68.0,27,57.0,20.410447349335584
Unai Gómez,Athletic Club,83.16000000000001,48.144,27,59.0,12.302489016455182
Íñigo Ruíz de Galarreta,Athletic Club,71.505,36.04,28,2.0,23.87055594241576
Óscar De Marcos,Athletic Club,81.27,13.531999999999998,28,5.0,18.900000000000006
Mikel Jauregizar,Athletic Club,94.185,38.964,28,13.0,11.457973686477034
Iñaki Peña,Barcelona,11.025,34.476,28,41.0,20.324043913552245
Ronald Araújo,Barcelona,37.065,25.364,28,44.0,11.18066371017392
Pedri,Barcelona,46.725,33.184,28,45.0,14.84156177765669
Yuri Berchiche,Athletic Club,21.525,47.327999999999996,28,51.0,18.19402374407596
Eric García,Barcelona,43.574999999999996,15.435999999999998,28,59.0,27.800991421170576
Iñaki Peña,Barcelona,25.2,28.9,29,5.0,12.259837233829819
Pau Cubarsí,Barcelona,29.084999999999997,40.732,29,7.0,23.72415732960815
Alejandro Balde,Barcelona,36.96,61.336,29,10.0,17.343598703844595
Pau Cubarsí,Barcelona,25.305000000000003,44.812000000000005,29,16.0,27.252450917302834
Ronald Araújo,Barcelona,36.855000000000004,16.388,29,25.0,22.741736433262965
Iñaki Peña,Barcelona,20.475,31.688000000000002,29,29.0,12.42357050126895
Pedri,Barcelona,41.475,24.003999999999998,29,33.0,14.884123219054592
Raphinha,Barcelona,50.505,35.836,29,34.0,11.272556098773695
Gavi,Barcelona,43.155,44.812000000000005,29,37.0,24.78024414730411
Alejandro Balde,Barcelona,48.93,56.44,29,41.0,14.198287361509482
Yuri Berchiche,Athletic Club,20.790000000000003,54.263999999999996,29,47.0,10.832302109893352
Nico Williams,Athletic Club,32.13,54.604,29,49.0,10.461579421865514
Aitor Paredes,Athletic Club,25.515,51.544,29,51.0,17.299718176895258
Yuri Berchiche,Athletic Club,19.11,64.464,29,53.0,31.069120119501296
Íñigo Ruíz de Galarreta,Athletic Club,34.125,36.856,29,55.0,15.29643517294144
Maroan Sannadi,Athletic Club,42.945,22.78,29,58.0,18.25422351128637
Gavi,Barcelona,44.415,47.87200000000001,30,27.0,10.19978842917833
Pau Cubarsí,Barcelona,36.96,37.468,30,31.0,14.06754065215381
Ronald Araújo,Barcelona,40.845,20.264,30,35.0,11.453694644087559
Eric García,Barcelona,43.574999999999996,8.84,30,37.0,19.762942695863895
Lamine Yamal,Barcelona,62.055,2.652,30,38.0,28.041204842160404
Ronald Araújo,Barcelona,36.435,17.068,30,41.0,11.988477134315268
Gavi,Barcelona,43.155,26.996000000000002,30,42.0,9.156342555846194
Ronald Araújo,Barcelona,41.894999999999996,22.983999999999998,30,47.0,17.85683913798856
Aitor Paredes,Athletic Club,36.224999999999994,37.128,30,51.0,21.638656242937092
Unai Gómez,Athletic Club,58.38,37.536,30,52.0,10.899462188566917
Mikel Jauregizar,Athletic Club,48.300000000000004,41.956,30,53.0,28.90716397365885
Nico Williams,Athletic Club,73.08,64.872,31,2.0,30.66871898205075
Íñigo Ruíz de Galarreta,Athletic Club,76.335,27.811999999999998,31,7.0,29.368871684148857
Pau Cubarsí,Barcelona,9.45,46.104,31,12.0,7.34704192175327
Pedri,Barcelona,20.580000000000002,37.536,31,14.0,31.74410490154038
Gavi,Barcelona,34.02,13.191999999999998,31,21.0,3.1613011561697175
Yuri Berchiche,Athletic Club,68.25,68.0,31,45.0,16.184414848860005
Unai Gómez,Athletic Club,71.71499999999999,52.632000000000005,31,47.0,26.963738613181977
Mikel Jauregizar,Athletic Club,95.235,64.804,31,52.0,14.54748651829586
Lamine Yamal,Barcelona,31.814999999999998,6.664000000000001,31,57.0,10.730043848931839
Pedri,Barcelona,21.945,25.364,32,1.0,19.502184518663544
Iñaki Peña,Barcelona,5.04,35.088,32,4.0,6.8658669518131505
Pedri,Barcelona,19.11,32.368,32,7.0,13.716714220249687
Ronald Araújo,Barcelona,20.790000000000003,18.496000000000002,32,11.0,12.512865419239509
Pedri,Barcelona,35.595,34.884,32,17.0,11.628
Pau Cubarsí,Barcelona,36.54,49.367999999999995,32,21.0,33.704208401919196
Fermín López,Barcelona,66.36,65.07600000000001,32,23.0,9.832929166835294
Lamine Yamal,Barcelona,71.505,33.932,33,18.0,10.514567085714942
Pedri,Barcelona,70.77000000000001,44.064,33,20.0,17.920405380459457
Alejandro Balde,Barcelona,55.545,34.612,33,23.0,11.928995934277124
Lamine Yamal,Barcelona,60.16499999999999,23.799999999999997,33,25.0,9.533208484030965
Alejandro Balde,Barcelona,53.550000000000004,37.06,33,28.0,14.02302620692124
Pau Cubarsí,Barcelona,46.83,49.367999999999995,33,30.0,7.50756844790642
Gavi,Barcelona,50.61000000000001,56.644,33,34.0,12.860448242576924
Pau Cubarsí,Barcelona,39.06,41.14,33,37.0,38.565225799935355
Ronald Araújo,Barcelona,49.245,3.944,33,41.0,12.971348773354295
Pedri,Barcelona,45.15,16.252,33,43.0,3.6206413796453294
Gavi,Barcelona,47.46,19.040000000000003,33,44.0,6.615523864366303
Pedri,Barcelona,43.574999999999996,27.200000000000003,33,49.0,31.93326065405786
Alejandro Balde,Barcelona,40.214999999999996,58.956,33,53.0,7.130469900364216
Fermín López,Barcelona,46.2,62.832,33,55.0,9.634457379634837
Fermín López,Barcelona,47.145,53.24399999999999,33,57.0,7.8712596831765005
Iñaki Peña,Barcelona,13.755,33.592,36,22.0,5.341284115266666
Pau Cubarsí,Barcelona,14.804999999999998,39.78,36,24.0,15.202413492600447
Gavi,Barcelona,30.974999999999998,37.331999999999994,36,29.0,10.918432305051857
Pau Cubarsí,Barcelona,30.555000000000003,42.16,36,35.0,15.920658560499307
Ronald Araújo,Barcelona,29.819999999999997,26.588,36,39.0,18.473181236592687
Eric García,Barcelona,35.385000000000005,7.0040000000000004,36,42.0,13.69895528863424
Ronald Araújo,Barcelona,27.405,24.82,36,44.0,23.83692169723264
Iñaki Peña,Barcelona,9.765,29.308,36,50.0,19.998892194319165
Ronald Araújo,Barcelona,9.975,7.888,36,53.0,7.4201080854661425
Ronald Araújo,Barcelona,16.905,10.744,36,57.0,15.659607785637544
Pedri,Barcelona,30.030000000000005,12.512,37,4.0,5.561261097988475
Eric García,Barcelona,31.185,7.072000000000001,37,5.0,12.965517498349229
Fermín López,Barcelona,49.665,21.148,37,8.0,46.99869206690756
Lamine Yamal,Barcelona,74.865,62.016000000000005,37,15.0,4.130975792715309
Alejandro Balde,Barcelona,72.135,61.54,37,17.0,6.147435562899382
Lamine Yamal,Barcelona,69.40499999999999,56.303999999999995,37,18.0,4.475299319598623
Fermín López,Barcelona,68.25,53.24399999999999,37,22.0,13.383345471144358
Alejandro Balde,Barcelona,76.335,63.988,37,24.0,7.27509834985067
Fermín López,Barcelona,74.02499999999999,60.18,37,25.0,11.655208106250178
Pedri,Barcelona,72.135,47.736000000000004,37,29.0,23.15436047486521
Ronald Araújo,Barcelona,60.269999999999996,27.608,37,31.0,12.045590437998465
Eric García,Barcelona,62.265,14.416,37,34.0,13.171971188854005
Raphinha,Barcelona,76.125,5.984000000000001,37,39.0,8.399490520263717
Eric García,Barcelona,67.2,10.267999999999999,37,41.0,22.862606172525474
Lamine Yamal,Barcelona,92.505,14.96,37,49.0,8.105865098803466
Pedri,Barcelona,102.16499999999999,18.291999999999998,37,52.0,29.16221226176094
Alex Berenguer,Athletic Club,3.7800000000000002,3.4000000000000004,37,59.0,10.54052299461464
Maroan Sannadi,Athletic Club,38.64,36.448,38,8.0,47.02207991996951
Ronald Araújo,Barcelona,34.44,18.904000000000003,38,21.0,11.710790963893093
Fermín López,Barcelona,36.54,34.476,38,25.0,4.956172010735707
Alejandro Balde,Barcelona,32.865,40.324,38,26.0,11.176956473029675
Ronald Araújo,Barcelona,29.819999999999997,25.364,38,50.0,13.159480574855532
Gavi,Barcelona,42.945,24.412,38,51.0,7.290807979915529
Ronald Araújo,Barcelona,41.160000000000004,26.588,39,2.0,28.191773551871474
Fermín López,Barcelona,66.78,14.824,39,4.0,8.467984943302627
Lamine Yamal,Barcelona,71.4,7.0040000000000004,39,6.0,6.16423750353602
Fermín López,Barcelona,74.76,12.512,39,7.0,9.407908162817073
Lamine Yamal,Barcelona,68.67,5.372,39,8.0,18.79610707034836
Unai Gómez,Athletic Club,36.855000000000004,27.200000000000003,39,18.0,12.328886446066413
Alex Berenguer,Athletic Club,32.445,13.395999999999999,39,21.0,13.88383408860823
Óscar De Marcos,Athletic Club,41.79,3.4000000000000004,39,23.0,8.400321481943415
Maroan Sannadi,Athletic Club,48.510000000000005,4.148,39,26.0,30.851965836879835
Gavi,Barcelona,61.425,58.548,39,35.0,6.856874579573396
Alejandro Balde,Barcelona,68.25,60.928,39,38.0,12.17199999999999
Pedri,Barcelona,64.05,42.84,39,42.0,17.05513705603095
Eric García,Barcelona,56.80500000000001,28.084,39,45.0,16.54033859991989
Gavi,Barcelona,56.175000000000004,39.372,39,47.0,6.348151305695227
