player,team,x,y,end_x,end_y,minute,second,is_successful,outcome_type,field_x,field_y,field_end_x,field_end_y,pass_distance
Ronald Araújo,Barcelona,42.1,33.1,54.7,16.3,11,7.0,True,Successful,44.205000000000005,22.508000000000003,57.435,11.084,17.479721851333903
Eric García,Barcelona,55.8,18.1,47.1,26.8,11,11.0,True,Successful,58.589999999999996,12.308000000000002,49.455000000000005,18.224,10.883348795292735
Gavi,Barcelona,47.1,26.8,41.1,41.8,11,12.0,True,Successful,49.455000000000005,18.224,43.155,28.424,11.988744721612854
Ronald Araújo,Barcelona,41.1,41.9,55.8,40.4,11,14.0,True,Successful,43.155,28.491999999999997,58.589999999999996,27.471999999999998,15.468665908862336
Pedri,Barcelona,71.0,44.8,80.9,60.5,11,19.0,True,Successful,74.55,30.464,84.94500000000001,41.14,14.900771825647162
Alejandro Balde,Barcelona,94.2,100.0,82.5,93.8,11,31.0,True,Successful,98.91000000000001,68.0,86.625,63.784,12.98829784844805
Gavi,Barcelona,88.8,93.3,87.2,95.7,11,35.0,True,Successful,93.24,63.443999999999996,91.56,65.07600000000001,2.3421835965611266
Raphinha,Barcelona,87.2,95.7,72.2,85.7,11,37.0,True,Successful,91.56,65.07600000000001,75.81,58.275999999999996,17.15524701075447
Pedri,Barcelona,70.5,80.4,68.0,23.2,11,39.0,True,Successful,74.02499999999999,54.672000000000004,71.4,15.776,38.98447692351406
Lamine Yamal,Barcelona,68.0,23.2,55.6,32.8,11,41.0,True,Successful,71.4,15.776,58.38,22.304,14.564861276373355
Eric García,Barcelona,61.0,20.6,69.5,21.8,11,46.0,True,Successful,64.05,14.008000000000001,72.975,14.824,8.962225225913482
Fermín López,Barcelona,69.7,21.8,57.4,19.6,11,47.0,True,Successful,73.185,14.824,60.269999999999996,13.328000000000001,13.001355352423845
Eric García,Barcelona,57.3,23.9,52.8,43.6,11,48.0,True,Successful,60.16499999999999,16.252,55.440000000000005,29.648,14.204873846676707
Ronald Araújo,Barcelona,52.8,43.6,59.0,60.6,11,51.0,True,Successful,55.440000000000005,29.648,61.949999999999996,41.208,13.267015489551516
Gavi,Barcelona,59.0,60.6,52.0,46.6,11,51.0,True,Successful,61.949999999999996,41.208,54.6,31.688000000000002,12.02717340026325
Ronald Araújo,Barcelona,53.8,45.7,65.6,52.5,11,57.0,True,Successful,56.489999999999995,31.076,68.88,35.7,13.224729713684134
